graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,X,Y,Z,
0,0,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,9.5,
0,1,0,TRUE,FALSE,FALSE,0,0,0,1,13.997749,43.9862,2.5,
0,2,0,TRUE,FALSE,FALSE,1,0,0,0,15,25,-1,
0,3,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,22.062415,15.5,
0,4,0,TRUE,FALSE,FALSE,0,0,0,1,13.997749,20.08782,2.5,
0,5,0,TRUE,FALSE,FALSE,0,0,1,0,18.272118,29.9862,15,
0,6,0,TRUE,FALSE,FALSE,1,0,0,0,5,45,-1,
0,7,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,24.5,
0,8,0,TRUE,FALSE,FALSE,1,0,0,0,45,35,-1,
0,9,0,TRUE,FALSE,FALSE,1,0,0,0,25,45,-1,
0,10,0,TRUE,FALSE,FALSE,1,0,0,0,15,45,-1,
0,11,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,14.164035,21.5,
0,12,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,14.164035,15.5,
0,13,0,TRUE,FALSE,FALSE,1,0,0,0,45,45,-1,
0,14,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,24.5,
0,15,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,9.5,
0,16,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,33.986199,21.5,
0,17,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,26.011605,24.5,
0,18,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,9.5,
0,19,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,33.986199,24.5,
0,20,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,18.113225,18.5,
0,21,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,6.5,
0,22,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,21.5,
0,23,0,TRUE,FALSE,FALSE,0,0,0,1,21.997749,47.9862,2.5,
0,24,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,18.5,
0,25,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,26.011605,15.5,
0,26,0,TRUE,FALSE,FALSE,0,1,0,0,21.247749,54.486198,9.5,
0,27,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,24.5,
0,28,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,18.5,
0,29,0,TRUE,FALSE,FALSE,1,0,0,0,35,55,-1,
0,30,0,TRUE,FALSE,FALSE,0,1,0,0,14.747749,54.486198,24.5,
0,31,0,TRUE,FALSE,FALSE,1,0,0,0,55,45,-1,
0,32,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,18.5,
0,33,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,49.986198,6.5,
0,34,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,6.5,
0,35,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,41.986199,21.5,
0,36,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,24.5,
0,37,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,21.5,
0,38,0,TRUE,FALSE,FALSE,0,0,0,1,21.99775,43.9862,2.5,
0,39,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,12.5,
0,40,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,18.5,
0,41,0,TRUE,FALSE,FALSE,1,0,0,0,15,15,-1,
0,42,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,26.011605,12.5,
0,43,0,TRUE,FALSE,FALSE,1,0,0,0,25,25,-1,
0,44,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,18.5,
0,45,0,TRUE,FALSE,FALSE,0,0,0,1,13.99775,16.13863,2.5,
0,46,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,12.5,
0,47,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,15.5,
0,48,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,24.5,
0,49,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,18.5,
0,50,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,41.986199,6.5,
0,51,0,TRUE,FALSE,FALSE,0,0,0,1,21.997749,20.08782,2.5,
0,52,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,15.5,
0,53,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,24.5,
0,54,0,TRUE,FALSE,FALSE,1,0,0,0,55,25,-1,
0,55,0,TRUE,FALSE,FALSE,1,0,0,0,35,35,-1,
0,56,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,26.011605,6.5,
0,57,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,15.5,
0,58,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,24.5,
0,59,0,TRUE,FALSE,FALSE,0,0,0,1,13.997749,47.9862,2.5,
0,60,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,21.5,
0,61,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,33.986199,12.5,
0,62,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,6.5,
0,63,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,49.986198,18.5,
0,64,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,6.5,
0,65,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,10.214845,9.5,
0,66,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,21.5,
0,67,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,41.986199,9.5,
0,68,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,37.986198,9.5,
0,69,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,12.5,
0,70,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,12.5,
0,71,0,TRUE,FALSE,FALSE,1,0,0,0,15,35,-1,
0,72,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,22.062415,12.5,
0,73,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,9.5,
0,74,0,TRUE,FALSE,FALSE,0,0,0,1,21.997749,39.9862,2.5,
0,75,0,TRUE,FALSE,FALSE,1,0,0,0,45,25,-1,
0,76,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,6.5,
0,77,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,10.214845,24.5,
0,78,0,TRUE,FALSE,FALSE,0,0,0,1,13.99775,35.9862,2.5,
0,79,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,18.5,
0,80,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,6.5,
0,81,0,TRUE,FALSE,FALSE,0,1,0,0,14.747749,54.486198,21.5,
0,82,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,18.113225,15.5,
0,83,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,37.986198,6.5,
0,84,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,12.5,
0,85,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,15.5,
0,86,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,9.5,
0,87,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,18.113225,21.5,
0,88,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,6.5,
0,89,0,TRUE,FALSE,FALSE,1,0,0,0,35,15,-1,
0,90,0,TRUE,FALSE,FALSE,0,1,0,0,14.747749,54.486198,18.5,
0,91,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,10.214845,6.5,
0,92,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,24.5,
0,93,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,49.986198,15.5,
0,94,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,18.5,
0,95,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,27.5,
0,96,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,26.011605,24.5,
0,97,0,TRUE,FALSE,FALSE,1,0,0,0,25,35,-1,
0,98,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,41.986198,21.5,
0,99,0,TRUE,FALSE,FALSE,1,0,0,0,25,55,-1,
0,100,0,TRUE,FALSE,FALSE,1,0,0,0,35,25,-1,
0,101,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,45.986198,21.5,
0,102,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,12.5,
0,103,0,TRUE,FALSE,FALSE,0,1,0,0,21.247749,54.486198,15.5,
0,104,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,14.164035,9.5,
0,105,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,18.5,
0,106,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,15.5,
0,107,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,21.5,
0,108,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,18.113225,24.5,
0,109,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,26.011605,27.5,
0,110,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,6.5,
0,111,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,27.5,
0,112,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,33.986199,18.5,
0,113,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,18.113225,12.5,
0,114,0,TRUE,FALSE,FALSE,1,0,0,0,35,45,-1,
0,115,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,12.5,
0,116,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,37.986198,21.5,
0,117,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,9.5,
0,118,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,21.5,
0,119,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,6.5,
0,120,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,12.5,
0,121,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,9.5,
0,122,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,14.164035,9.5,
0,123,0,TRUE,FALSE,FALSE,1,0,0,0,55,55,-1,
0,124,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,26.011605,6.5,
0,125,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,15.5,
0,126,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,9.5,
0,127,0,TRUE,FALSE,FALSE,1,0,0,0,5,35,-1,
0,128,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,26.011605,9.5,
0,129,0,TRUE,FALSE,FALSE,1,0,0,0,5,55,-1,
0,130,0,TRUE,FALSE,FALSE,0,0,0,1,21.99775,35.9862,2.5,
0,131,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,27.5,
0,132,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,18.113225,15.5,
0,133,0,TRUE,FALSE,FALSE,1,0,0,0,5,25,-1,
0,134,0,TRUE,FALSE,FALSE,0,0,0,1,21.99775,12.18944,2.5,
0,135,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,22.062415,24.5,
0,136,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,45.986198,12.5,
0,137,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,27.5,
0,138,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,10.214845,21.5,
0,139,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,15.5,
0,140,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,18.5,
0,141,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,15.5,
0,142,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,6.5,
0,143,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,41.986198,15.5,
0,144,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,49.986198,24.5,
0,145,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,14.164035,6.5,
0,146,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,49.986198,27.5,
0,147,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,27.5,
0,148,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,18.113225,12.5,
0,149,0,TRUE,FALSE,FALSE,0,0,1,0,17.997749,41.986199,27.5,
0,150,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,22.062415,21.5,
0,151,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,24.5,
0,152,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,15.5,
0,153,0,TRUE,FALSE,FALSE,1,0,0,0,55,15,-1,
0,154,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,22.062415,21.5,
0,155,0,TRUE,FALSE,FALSE,0,0,0,1,13.99775,39.9862,2.5,
0,156,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,10.214845,12.5,
0,157,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,26.011605,9.5,
0,158,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,37.986198,9.5,
0,159,0,TRUE,FALSE,FALSE,1,0,0,0,45,15,-1,
0,160,0,TRUE,FALSE,FALSE,0,1,0,0,22.872749,22.062415,6.5,
0,161,0,TRUE,FALSE,FALSE,0,1,0,0,13.122749,33.986199,6.5,
